release_year,metascore,userscore,metascore_count,platforms,userscore_count
1999,92.0,90.0,21,1,1693
2018,92.0,83.0,46,5,928
2001,92.0,89.0,53,1,2171
2014,92.0,88.0,77,2,2351
2008,92.0,83.0,19,1,124
1996,92.0,82.0,13,1,155
1997,92.0,89.0,20,3,2982
2021,92.0,90.0,28,2,1727
2012,92.0,86.0,78,2,2187
2008,92.0,84.0,69,3,95
1999,92.0,85.0,19,1,255
2001,92.0,88.0,19,1,472
2006,92.0,82.0,69,2,213
2016,92.0,33.0,8,1,252
1999,92.0,83.0,17,1,310
2008,92.0,92.0,57,2,1082
2017,92.0,86.0,95,1,4297
2011,92.0,87.0,58,1,781
2002,92.0,89.0,44,1,614
2004,92.0,88.0,60,1,514
2013,92.0,87.0,35,7,1143
2011,91.0,87.0,86,1,978
2002,91.0,85.0,34,1,768
2004,91.0,79.0,39,6,25
2016,92.0,93.0,50,3,5855
2020,91.0,73.0,66,2,1592
2023,91.0,80.0,18,2,241
2024,91.0,82.0,8,2,143
2009,91.0,90.0,48,1,471
2007,92.0,84.0,25,2,550
2005,91.0,80.0,65,1,174
2022,91.0,79.0,11,3,84
2016,91.0,66.0,64,4,7614
2003,91.0,78.0,8,1,88
1998,91.0,88.0,16,1,1067
2000,91.0,71.0,25,4,19
2001,91.0,86.0,18,1,170
2014,91.0,90.0,80,2,1551
1999,91.0,87.0,16,1,142
2001,91.0,85.0,12,1,187
1997,91.0,73.0,12,1,29
2000,91.0,82.0,16,1,189
2004,91.0,89.0,65,1,732
2002,91.0,89.0,35,2,845
1996,91.0,83.0,13,2,488
1997,91.0,83.0,9,1,120
2019,91.0,88.0,50,3,1108
2001,91.0,81.0,15,1,184
2008,91.0,82.0,47,1,1492
2024,91.0,75.0,19,2,124
2004,91.0,93.0,68,2,2182
2000,91.0,87.0,15,1,510
2016,91.0,83.0,91,2,1461
2007,91.0,80.0,56,3,2840
2000,91.0,79.0,20,1,51
2004,91.0,87.0,89,1,135
2002,91.0,70.0,19,3,10
2010,91.0,71.0,33,2,53
2003,91.0,89.0,10,1,213
2008,91.0,84.0,79,1,1393
2014,91.0,66.0,7,1,199
2018,91.0,79.0,100,2,3396
2007,91.0,82.0,46,1,1193
2003,91.0,28.0,25,2,12
2000,91.0,83.0,22,6,480
2010,91.0,84.0,99,1,3409
2002,91.0,89.0,26,1,274
2007,91.0,80.0,22,1,43
1997,91.0,85.0,10,1,245
2000,91.0,86.0,26,1,527
2025,91.0,86.0,110,4,2009
2011,91.0,84.0,83,1,799
1996,91.0,87.0,8,2,951
2020,91.0,83.0,61,3,1152
2005,91.0,84.0,55,1,1011
1999,91.0,88.0,19,4,507
2009,91.0,89.0,50,2,755
2000,91.0,86.0,32,2,255
1999,91.0,91.0,22,1,1091
2007,91.0,85.0,74,3,2274
2009,91.0,79.0,94,1,1035
1999,91.0,88.0,17,1,348
2001,91.0,88.0,29,1,361
2011,91.0,81.0,96,1,2261
2002,91.0,87.0,29,1,270
2002,91.0,82.0,34,1,727
2003,91.0,88.0,29,1,339
2013,91.0,89.0,81,1,1945
2019,91.0,88.0,85,3,7334
2024,91.0,88.0,18,1,498
2019,91.0,88.0,10,1,1445
2019,91.0,85.0,64,1,1971
2001,91.0,77.0,22,1,180
2014,91.0,77.0,69,3,2648
2005,91.0,82.0,26,3,45
2024,91.0,82.0,8,1,39
2017,91.0,82.0,17,1,680
2025,91.0,90.0,143,1,2624
2009,90.0,88.0,82,3,3532
1998,91.0,90.0,12,1,1031
1999,91.0,73.0,14,1,85
2024,90.0,80.0,30,3,687
2003,91.0,82.0,44,3,1648
2003,90.0,84.0,50,1,67
2005,91.0,86.0,64,1,1071
2004,90.0,85.0,61,7,1122
2019,90.0,91.0,25,2,1084
2020,90.0,59.0,111,1,7370
2010,90.0,59.0,53,1,1391
2024,90.0,84.0,32,4,1660
2014,90.0,78.0,63,2,1783
2010,90.0,83.0,86,6,941
2006,90.0,75.0,78,4,166
2003,90.0,86.0,38,4,202
2003,90.0,85.0,42,1,358
2001,90.0,86.0,59,1,603
2023,90.0,82.0,24,1,269
2025,90.0,89.0,44,5,6439
2008,90.0,82.0,26,4,766
1999,90.0,83.0,19,1,272
2009,90.0,75.0,63,5,169
