release_year,metascore,userscore,metascore_count,platforms,userscore_count
2012,82.0,53.0,42,1,1566
2010,82.0,86.0,12,1,182
2024,82.0,74.0,19,4,51
2016,82.0,78.0,33,4,402
2005,82.0,83.0,38,1,95
2018,82.0,86.0,30,1,308
2005,82.0,82.0,8,1,24
2020,82.0,61.0,11,2,16
2022,82.0,75.0,9,1,24
2008,82.0,79.0,17,1,26
2014,82.0,78.0,66,3,925
2021,82.0,0.0,9,1,1
2014,82.0,65.0,20,2,59
2007,82.0,75.0,15,1,20
2018,82.0,81.0,10,4,195
2025,82.0,80.0,12,1,59
1997,82.0,87.0,7,1,169
2018,82.0,81.0,16,3,42
2019,82.0,83.0,30,2,232
2016,82.0,76.0,14,1,63
2024,82.0,0.0,7,1,3
2012,82.0,84.0,40,4,869
2021,82.0,83.0,6,3,53
2002,82.0,58.0,24,1,6
2008,82.0,72.0,55,3,504
2000,82.0,77.0,23,1,22
2003,82.0,0.0,16,2,2
2002,82.0,0.0,13,1,3
2000,82.0,63.0,13,1,12
2020,82.0,77.0,27,4,56
2023,82.0,53.0,14,1,1131
2019,82.0,86.0,10,2,374
2003,82.0,79.0,35,3,20
2002,82.0,83.0,26,5,433
2010,82.0,81.0,85,2,183
2014,82.0,87.0,24,1,152
2007,82.0,72.0,43,7,63
2009,82.0,85.0,12,1,42
2025,82.0,88.0,82,5,727
2018,82.0,62.0,35,1,107
2009,82.0,85.0,25,1,252
2023,82.0,63.0,9,1,19
2023,82.0,61.0,7,2,18
2023,82.0,62.0,32,3,72
2025,82.0,0.0,5,1,1
2014,82.0,84.0,8,1,107
2020,82.0,77.0,13,4,60
2016,82.0,59.0,10,1,7
2024,82.0,70.0,6,4,6
2008,82.0,80.0,18,2,18
2010,82.0,78.0,72,3,417
2018,82.0,73.0,54,3,443
2020,82.0,77.0,64,1,195
2008,82.0,82.0,7,1,13
2009,82.0,76.0,92,1,485
2004,82.0,77.0,30,1,26
2024,82.0,78.0,18,3,46
2024,82.0,61.0,8,1,10
2023,82.0,76.0,9,1,33
2021,82.0,81.0,39,1,70
2012,82.0,65.0,65,2,214
2006,82.0,70.0,7,1,20
2008,82.0,83.0,63,1,186
2024,82.0,40.0,73,3,8640
2018,82.0,30.0,49,4,492
2021,82.0,76.0,58,3,302
2000,82.0,55.0,14,1,8
2000,82.0,75.0,9,1,11
2014,82.0,72.0,19,3,256
2002,82.0,75.0,11,1,19
2001,82.0,80.0,16,1,27
2023,82.0,64.0,10,2,15
1999,82.0,91.0,8,1,363
2002,82.0,78.0,32,3,156
2001,82.0,81.0,16,1,11
2013,82.0,77.0,58,4,559
2017,82.0,67.0,78,3,1132
2022,82.0,75.0,19,4,160
2003,82.0,78.0,16,2,25
2013,82.0,85.0,71,3,3787
2014,82.0,76.0,11,2,63
2025,82.0,89.0,13,1,8
2007,82.0,68.0,41,6,15
2012,82.0,83.0,38,2,415
2013,82.0,84.0,21,1,247
2017,82.0,69.0,11,1,32
2010,82.0,88.0,23,1,332
2018,82.0,77.0,52,4,249
2019,82.0,68.0,13,3,83
2024,82.0,68.0,9,3,17
2017,82.0,60.0,8,2,22
2006,82.0,81.0,7,1,22
2012,82.0,71.0,46,4,16
2006,82.0,0.0,22,4,3
2014,82.0,59.0,47,3,1263
2014,82.0,72.0,8,2,158
2023,82.0,70.0,59,3,234
2018,82.0,82.0,19,3,57
2013,82.0,71.0,12,3,88
2008,82.0,75.0,48,4,70
2022,82.0,77.0,63,5,826
2008,82.0,74.0,28,1,25
2018,82.0,71.0,39,3,262
2016,82.0,80.0,64,4,98
2008,82.0,72.0,7,1,5
2004,82.0,88.0,42,1,357
2014,82.0,77.0,64,2,362
2014,82.0,76.0,52,1,962
2000,82.0,81.0,24,1,16
2002,82.0,56.0,13,1,23
2022,82.0,67.0,8,1,20
2019,82.0,85.0,6,1,40
2021,82.0,71.0,19,5,82
2003,82.0,78.0,27,1,4
2024,82.0,80.0,9,3,56
2020,82.0,64.0,9,3,19
2002,82.0,82.0,24,1,39
2025,82.0,84.0,39,3,69
2020,82.0,69.0,7,2,11
2019,82.0,74.0,14,4,58
2010,82.0,64.0,9,1,7
2009,81.0,80.0,67,1,102
2008,81.0,70.0,66,1,23
2019,81.0,82.0,61,4,2285
2018,81.0,75.0,32,6,366
2022,81.0,62.0,36,1,216
2012,81.0,73.0,11,2,34
2014,81.0,87.0,58,1,402
2016,81.0,73.0,21,1,596
2010,81.0,38.0,7,1,5
2017,82.0,79.0,9,1,53
2023,81.0,47.0,73,1,2858
2005,81.0,76.0,62,2,396
2021,81.0,65.0,13,2,11
2019,81.0,63.0,17,1,307
2014,81.0,74.0,16,1,15
2006,81.0,72.0,65,5,44
2010,81.0,78.0,31,3,50
2014,81.0,69.0,43,1,171
2005,81.0,82.0,72,2,209
2007,81.0,67.0,33,3,10
2013,81.0,64.0,52,5,4791
2014,81.0,72.0,26,3,37
2024,81.0,77.0,7,1,9
2013,81.0,77.0,63,3,567
2016,81.0,69.0,72,3,462
2019,81.0,75.0,7,1,13
2011,81.0,88.0,26,2,1705
2019,81.0,83.0,15,2,101
2009,81.0,77.0,31,1,62
2025,81.0,0.0,7,2,2
2021,81.0,82.0,24,1,209
2018,81.0,82.0,7,1,11
2012,81.0,73.0,8,1,53
2013,81.0,64.0,30,2,105
2016,81.0,70.0,30,1,30
2014,81.0,61.0,37,2,233
2004,81.0,81.0,19,1,25
2017,81.0,78.0,68,4,2344
2011,81.0,76.0,61,2,175
2009,81.0,77.0,14,1,35
2005,81.0,79.0,54,1,82
2004,81.0,82.0,62,1,364
2021,81.0,75.0,27,1,154
2018,81.0,71.0,11,2,18
2003,81.0,80.0,7,1,21
2003,81.0,56.0,11,1,5
2021,81.0,82.0,8,4,73
2017,81.0,76.0,44,3,395
2016,81.0,87.0,71,1,310
2025,81.0,69.0,11,2,8
2022,81.0,75.0,97,3,149
2006,81.0,56.0,16,1,5
2009,81.0,67.0,11,1,6
2015,81.0,78.0,28,1,268
2025,81.0,85.0,24,3,43
2011,81.0,78.0,36,3,23
2017,81.0,82.0,51,1,191
2011,81.0,79.0,10,2,9
2021,81.0,69.0,8,4,15
2022,81.0,74.0,12,1,136
2024,81.0,74.0,8,1,5
2016,81.0,70.0,21,2,28
2023,81.0,79.0,17,3,59
2006,81.0,76.0,46,1,14
2015,81.0,87.0,88,1,1534
2006,81.0,75.0,74,1,228
2025,81.0,61.0,98,4,4479
2012,81.0,76.0,14,1,28
2020,81.0,68.0,28,4,18
2018,81.0,83.0,10,1,37
2021,81.0,0.0,9,1,2
2007,81.0,87.0,35,1,242
2006,81.0,86.0,34,1,25
2002,81.0,69.0,15,1,17
2015,81.0,71.0,34,1,152
2015,81.0,75.0,38,2,184
2016,81.0,75.0,52,3,253
2004,81.0,84.0,40,4,24
2006,81.0,79.0,50,8,162
2014,81.0,82.0,39,3,288
2009,81.0,84.0,48,2,181
2005,81.0,83.0,51,1,272
2010,81.0,47.0,19,1,83
2020,81.0,63.0,62,1,288
2015,81.0,79.0,70,1,331
2018,81.0,72.0,21,3,26
2020,81.0,61.0,10,1,37
2019,81.0,51.0,11,1,38
2018,81.0,64.0,15,1,88
2002,81.0,69.0,19,4,12
2023,81.0,73.0,8,3,12
2002,81.0,69.0,22,2,20
2015,81.0,68.0,20,5,186
2007,81.0,74.0,30,4,12
2012,81.0,74.0,24,4,158
2013,81.0,80.0,63,2,285
2017,81.0,67.0,7,2,45
2024,81.0,67.0,63,3,244
2021,81.0,76.0,13,4,155
2018,81.0,74.0,19,2,20
2025,81.0,89.0,11,3,22
2000,81.0,74.0,23,1,79
2014,81.0,58.0,53,3,1317
2018,81.0,78.0,38,4,353
2017,81.0,76.0,18,1,172
2007,81.0,83.0,50,1,1381
2014,81.0,85.0,34,6,339
2005,81.0,76.0,37,1,37
2008,81.0,82.0,75,3,403
2013,81.0,75.0,28,1,127
2020,81.0,69.0,7,1,9
2019,81.0,75.0,7,1,18
2023,81.0,72.0,39,2,53
2021,81.0,68.0,11,2,16
2019,81.0,50.0,7,1,23
2019,81.0,79.0,17,1,92
2013,81.0,80.0,18,2,85
2019,81.0,80.0,11,4,32
2015,81.0,83.0,33,3,239
2020,81.0,71.0,25,3,304
2012,81.0,79.0,28,2,52
2005,81.0,0.0,25,3,3
2023,81.0,73.0,12,2,23
2022,81.0,74.0,8,1,44
2020,81.0,73.0,23,3,56
2003,81.0,76.0,17,1,57
2015,81.0,85.0,46,1,181
2019,81.0,73.0,21,1,318
2014,81.0,69.0,8,1,23
2007,81.0,70.0,15,1,5
2011,81.0,82.0,10,1,13
1998,81.0,81.0,12,1,41
2002,81.0,80.0,22,3,11
2000,81.0,84.0,9,1,52
2003,81.0,80.0,29,1,20
2025,81.0,58.0,36,4,24
1999,81.0,85.0,15,1,25
2023,81.0,75.0,36,2,110
2025,81.0,46.0,88,3,756
2004,81.0,76.0,9,1,13
2025,81.0,72.0,27,1,104
2019,81.0,78.0,44,4,388
2020,81.0,74.0,21,2,124
2005,81.0,71.0,45,1,26
2020,81.0,79.0,65,5,1099
2017,81.0,79.0,18,2,102
2009,81.0,81.0,33,2,31
2005,81.0,79.0,52,1,774
2003,81.0,82.0,49,1,59
2013,81.0,75.0,23,1,691
2008,81.0,74.0,22,2,15
2009,81.0,75.0,42,1,171
2012,81.0,87.0,11,1,270
2011,81.0,80.0,46,1,102
2025,81.0,85.0,7,1,18
2020,81.0,81.0,12,1,101
2023,81.0,54.0,20,2,8
2007,81.0,72.0,77,3,2009
2015,81.0,57.0,51,4,83
2023,81.0,74.0,22,3,108
2025,81.0,77.0,17,2,14
2011,81.0,83.0,53,1,64
2014,81.0,85.0,78,3,569
2024,81.0,79.0,7,2,40
2006,81.0,71.0,24,1,55
2012,81.0,77.0,26,1,132
2017,81.0,86.0,76,1,467
2015,81.0,84.0,30,3,285
2005,81.0,89.0,53,2,407
2021,81.0,65.0,15,1,17
2021,81.0,76.0,15,2,70
2013,81.0,83.0,75,1,483
2001,81.0,86.0,14,2,1388
2020,81.0,79.0,7,1,8
2002,81.0,67.0,10,1,11
2003,81.0,81.0,30,3,18
2001,81.0,86.0,24,1,392
2008,81.0,56.0,32,2,15
2003,81.0,85.0,22,1,29
2000,81.0,67.0,13,2,6
2015,81.0,79.0,56,2,589
2004,81.0,73.0,32,3,32
2025,81.0,74.0,47,4,65
2017,81.0,84.0,18,1,243
2021,81.0,50.0,8,1,4
2014,81.0,64.0,38,1,90
2020,81.0,83.0,32,4,88
2003,81.0,78.0,31,1,24
2015,81.0,82.0,24,3,148
2023,81.0,76.0,20,3,92
2014,81.0,85.0,40,3,401
2014,81.0,80.0,58,1,136
2015,81.0,85.0,33,3,279
2010,81.0,85.0,30,3,25
2015,81.0,71.0,21,4,227
2021,81.0,68.0,25,2,26
2010,81.0,72.0,40,2,51
2021,81.0,69.0,67,5,694
2019,81.0,75.0,17,1,35
2014,81.0,68.0,21,4,98
2016,81.0,71.0,35,3,315
2014,81.0,79.0,89,2,1628
2024,81.0,67.0,53,1,38
2006,81.0,77.0,75,2,50
2012,81.0,89.0,43,2,246
2010,81.0,77.0,74,3,392
2010,81.0,79.0,56,1,439
2011,81.0,68.0,77,3,704
2012,81.0,86.0,36,1,282
2005,81.0,86.0,21,1,43
2016,81.0,74.0,65,4,2294
2008,81.0,62.0,12,1,6
2019,81.0,76.0,53,4,91
2012,81.0,72.0,8,1,49
2012,81.0,74.0,13,3,72
2016,81.0,75.0,28,6,116
2003,81.0,0.0,9,1,3
2006,81.0,71.0,12,2,121
2006,81.0,82.0,22,1,100
2016,81.0,81.0,21,1,47
2011,81.0,80.0,15,2,8
2017,81.0,71.0,13,2,34
2018,81.0,80.0,5,1,54
2017,81.0,60.0,8,2,21
2013,81.0,87.0,7,1,97
2001,81.0,88.0,19,1,415
2024,81.0,73.0,7,1,36
2024,81.0,82.0,18,1,9
2004,81.0,80.0,50,2,27
2005,81.0,54.0,57,1,11
2023,81.0,77.0,10,3,19
2025,81.0,78.0,8,1,13
2003,81.0,78.0,26,4,77
2025,81.0,82.0,25,3,67
2023,81.0,61.0,55,4,236
2006,81.0,77.0,42,1,122
2025,81.0,81.0,13,1,17
2011,81.0,80.0,65,1,300
2018,81.0,65.0,38,3,189
2024,81.0,75.0,17,3,14
2018,81.0,67.0,24,2,114
2016,81.0,82.0,65,1,156
2006,81.0,82.0,31,1,22
2002,81.0,84.0,24,1,135
2011,81.0,82.0,55,1,34
2013,81.0,79.0,81,1,1052
2008,81.0,74.0,18,2,10
2021,81.0,59.0,13,3,23
2024,81.0,83.0,74,4,1227
2022,81.0,79.0,79,5,1275
2019,81.0,81.0,60,2,332
2010,81.0,77.0,79,2,243
2024,81.0,75.0,12,2,6
2023,81.0,80.0,29,3,121
2023,81.0,75.0,11,2,31
2019,81.0,56.0,53,4,3329
2020,81.0,71.0,23,4,370
2023,81.0,69.0,22,3,27
2009,81.0,87.0,49,1,76
2016,81.0,74.0,109,2,5033
2004,81.0,63.0,39,2,319
2019,81.0,75.0,36,1,97
2009,81.0,82.0,74,1,145
2016,81.0,79.0,62,6,875
2020,81.0,84.0,28,2,168
2024,81.0,73.0,20,1,26
2020,81.0,50.0,25,4,2315
2000,81.0,80.0,15,1,50
2009,81.0,60.0,15,1,58
2005,81.0,83.0,31,1,34
2017,81.0,81.0,54,3,234
2013,81.0,68.0,48,4,28
2015,81.0,73.0,22,1,1006
2009,81.0,79.0,23,3,55
2021,81.0,76.0,13,2,40
2017,81.0,65.0,7,2,4
2015,81.0,73.0,22,3,34
2020,81.0,84.0,33,3,210
2022,81.0,55.0,7,1,101
2024,81.0,73.0,14,3,60
2013,81.0,84.0,39,9,1158
2017,81.0,73.0,63,3,4793
2009,81.0,63.0,27,1,7
2023,81.0,80.0,49,3,184
2024,81.0,76.0,14,3,19
2016,81.0,81.0,70,1,223
2014,81.0,68.0,26,3,73
2024,81.0,77.0,13,3,22
2014,81.0,55.0,78,1,1108
2014,81.0,82.0,10,2,102
2019,81.0,77.0,35,4,196
2019,81.0,77.0,12,1,42
2008,81.0,24.0,38,2,97
2019,81.0,74.0,22,1,248
2011,81.0,72.0,7,1,5
2021,81.0,74.0,10,3,39
2007,81.0,72.0,44,1,69
2020,81.0,62.0,14,3,159
2010,81.0,82.0,53,1,71
2022,81.0,70.0,37,2,92
2004,81.0,80.0,53,4,81
2021,81.0,76.0,106,1,1027
2020,81.0,66.0,8,2,8
2003,81.0,89.0,9,1,14
2005,81.0,75.0,7,1,34
1999,81.0,78.0,10,1,4
2019,81.0,80.0,49,1,591
2014,81.0,73.0,65,1,1227
2004,81.0,80.0,43,1,63
2018,81.0,66.0,27,4,73
2009,81.0,79.0,58,2,112
2012,81.0,59.0,36,4,197
2008,81.0,0.0,21,1,3
2011,81.0,75.0,20,3,143
2004,81.0,88.0,38,1,27
2019,81.0,81.0,17,3,72
2023,81.0,74.0,26,3,107
2021,81.0,75.0,12,1,30
2007,81.0,58.0,21,3,6
2021,81.0,82.0,89,3,212
2000,81.0,78.0,16,2,65
2008,81.0,84.0,10,1,32
2002,81.0,63.0,10,1,6
2006,81.0,89.0,34,1,113
2001,81.0,80.0,10,1,7
2016,81.0,40.0,9,1,25
2008,81.0,84.0,66,2,149
2022,81.0,84.0,32,4,335
2015,81.0,79.0,17,1,247
2018,81.0,70.0,28,5,244
2009,81.0,62.0,7,1,5
2022,81.0,77.0,9,2,22
2022,81.0,68.0,24,3,27
2024,81.0,76.0,14,1,7
2015,81.0,70.0,31,1,264
2022,81.0,0.0,15,1,3
2023,81.0,53.0,15,2,74
2017,81.0,69.0,21,4,111
2024,81.0,79.0,30,2,51
2021,81.0,70.0,16,3,63
2019,81.0,79.0,55,3,239
2025,81.0,0.0,7,1,3
2016,81.0,79.0,7,2,35
2024,81.0,92.0,7,1,19
2022,81.0,71.0,7,1,12
2021,81.0,76.0,39,1,72
2025,81.0,73.0,9,3,15
2007,81.0,72.0,27,2,18
2018,81.0,70.0,83,3,3511
2002,81.0,83.0,19,1,24
2001,81.0,79.0,21,2,11
2003,81.0,87.0,40,1,173
2017,81.0,81.0,9,3,484
2003,81.0,77.0,22,1,80
2001,81.0,83.0,23,1,212
2000,81.0,77.0,11,1,11
2001,81.0,64.0,11,1,12
2000,81.0,77.0,23,1,21
2010,81.0,77.0,12,2,105
2002,81.0,82.0,25,3,33
1998,81.0,87.0,17,1,243
2023,81.0,77.0,25,2,33
2017,81.0,81.0,54,1,416
2011,81.0,80.0,21,1,92
2016,81.0,70.0,12,5,38
2018,81.0,78.0,39,4,138
2006,81.0,77.0,47,1,27
2021,81.0,77.0,85,1,569
2014,81.0,88.0,50,2,465
2011,81.0,77.0,37,1,117
2024,81.0,78.0,36,4,41
2023,81.0,0.0,9,1,1
2023,81.0,74.0,18,3,41
2016,81.0,80.0,16,2,115
2025,81.0,62.0,9,1,24
2024,81.0,85.0,8,2,15
2006,81.0,85.0,45,1,106
2019,81.0,78.0,10,1,32
2024,81.0,70.0,9,1,10
2004,81.0,85.0,38,1,982
2005,81.0,64.0,75,1,152
2017,81.0,73.0,18,3,30
2018,81.0,36.0,52,3,3840
2020,81.0,63.0,33,1,35
2022,81.0,84.0,31,3,198
2003,81.0,85.0,34,4,594
2006,81.0,80.0,50,3,77
2013,81.0,87.0,18,3,883
2024,81.0,79.0,7,1,27
2024,81.0,68.0,7,1,17
2005,81.0,66.0,33,3,19
2020,81.0,76.0,53,5,634
2021,81.0,83.0,7,2,20
2023,81.0,41.0,8,1,24
2024,81.0,78.0,7,3,21
2014,81.0,83.0,24,1,273
2024,81.0,70.0,6,1,12
2008,81.0,82.0,74,1,250
2023,81.0,59.0,63,3,226
2023,81.0,74.0,77,4,249
2016,81.0,84.0,20,3,117
2007,81.0,90.0,45,2,278
2004,81.0,84.0,36,1,356
2004,81.0,81.0,66,1,14
2004,81.0,78.0,15,2,28
2021,81.0,76.0,29,4,75
2003,81.0,76.0,25,1,70
2024,81.0,92.0,134,2,7948
2003,81.0,0.0,22,3,2
2004,81.0,71.0,34,6,21
2010,81.0,73.0,24,3,6
2019,81.0,79.0,53,1,92
2012,81.0,82.0,28,1,227
2015,81.0,55.0,29,1,464
2015,81.0,55.0,87,3,3339
2012,81.0,64.0,7,1,21
2017,81.0,78.0,9,1,173
2017,81.0,71.0,14,2,25
2016,81.0,77.0,12,1,53
2019,81.0,74.0,8,2,17
2020,81.0,68.0,52,2,1675
2023,81.0,0.0,8,2,2
2019,81.0,75.0,42,3,121
2019,81.0,70.0,27,1,43
2022,81.0,70.0,7,2,6
2006,81.0,86.0,42,4,39
2025,81.0,82.0,28,3,107
2022,81.0,48.0,49,1,636
2010,81.0,77.0,15,1,12
2005,81.0,78.0,25,2,16
2024,81.0,82.0,87,2,8014
2019,81.0,70.0,27,3,105
2010,81.0,80.0,21,2,21
2016,81.0,78.0,19,4,183
2015,81.0,84.0,67,1,1894
2011,81.0,53.0,7,1,4
2020,81.0,62.0,24,6,58
2010,81.0,71.0,32,4,14
2007,81.0,83.0,19,1,106
2019,81.0,78.0,41,1,44
2017,81.0,82.0,22,3,52
2024,81.0,74.0,95,2,2800
2015,81.0,77.0,12,1,23
2015,81.0,82.0,36,1,86
2004,81.0,85.0,38,1,38
2008,81.0,71.0,73,3,250
2002,81.0,82.0,16,1,44
2005,81.0,43.0,32,1,4
2014,81.0,77.0,8,1,58
2025,81.0,63.0,17,2,11
2016,81.0,79.0,56,2,167
2001,81.0,72.0,21,4,17
2003,81.0,81.0,28,1,88
2002,81.0,70.0,15,1,48
2017,81.0,74.0,14,2,167
2001,81.0,0.0,18,2,2
2003,81.0,55.0,33,2,6
2022,81.0,80.0,15,1,5
2025,81.0,79.0,19,1,73
2005,80.0,81.0,49,2,54
2004,81.0,79.0,38,3,12
2022,81.0,71.0,14,4,23
2019,80.0,75.0,34,4,263
2021,81.0,82.0,82,4,1741
2016,80.0,82.0,26,4,128
2015,80.0,77.0,39,4,95
2022,80.0,70.0,109,1,323
2021,80.0,73.0,9,1,92
2016,80.0,84.0,64,3,391
2009,80.0,79.0,33,2,22
2020,80.0,78.0,92,2,558
2023,80.0,59.0,10,2,34
2021,80.0,58.0,13,2,34
2022,80.0,63.0,17,4,32
2013,80.0,57.0,32,5,157
2004,80.0,81.0,43,2,94
2015,80.0,83.0,43,2,223
2008,80.0,73.0,44,1,115
2019,80.0,77.0,18,2,56
2006,80.0,81.0,26,1,92
2022,80.0,74.0,18,3,9
2014,80.0,67.0,80,4,4436
2012,80.0,77.0,53,1,465
2014,80.0,69.0,29,1,126
2023,80.0,70.0,129,1,1070
2008,80.0,77.0,44,1,69
2017,80.0,55.0,17,2,120
2023,80.0,77.0,15,3,98
2013,80.0,81.0,37,6,503
2008,80.0,83.0,56,3,426
2023,80.0,85.0,99,1,195
2007,80.0,74.0,54,1,77
2018,80.0,76.0,17,2,21
2017,80.0,78.0,48,1,208
2012,80.0,83.0,56,1,926
2025,80.0,75.0,43,3,95
2024,80.0,69.0,11,1,9
2001,80.0,85.0,22,2,83
2001,80.0,70.0,20,1,7
2004,80.0,53.0,53,3,14
2002,80.0,90.0,31,1,177
2002,80.0,0.0,23,2,0
2009,80.0,59.0,32,2,7
1999,80.0,82.0,19,1,52
2001,80.0,78.0,13,1,13
1999,80.0,86.0,14,1,100
2004,80.0,83.0,23,3,283
2016,80.0,71.0,8,2,17
1999,80.0,84.0,13,1,74
2021,80.0,66.0,14,1,14
2016,80.0,80.0,67,1,693
2024,80.0,81.0,23,4,88
2021,80.0,69.0,22,1,147
2016,80.0,56.0,47,1,144
2006,80.0,79.0,37,1,13
2023,80.0,75.0,13,1,24
2014,80.0,73.0,36,4,106
2021,80.0,75.0,34,5,136
2015,80.0,77.0,18,2,46
2011,80.0,76.0,77,3,1500
2025,80.0,77.0,9,1,15
2019,80.0,84.0,7,1,50
2016,80.0,77.0,21,4,27
2006,80.0,84.0,38,1,41
2006,80.0,65.0,54,10,25
2011,80.0,72.0,36,3,181
2025,80.0,74.0,38,1,57
2023,80.0,48.0,8,5,9
2017,80.0,83.0,61,1,391
2015,80.0,73.0,34,3,58
2019,80.0,81.0,10,2,239
2023,80.0,79.0,41,4,615
2014,80.0,80.0,74,5,901
2024,80.0,70.0,12,3,14
2009,80.0,79.0,59,5,89
2020,80.0,74.0,10,1,15
2012,80.0,78.0,19,2,66
2020,80.0,64.0,54,2,347
2008,80.0,72.0,30,1,16
2008,80.0,80.0,47,1,129
2018,80.0,73.0,8,1,8
2021,80.0,76.0,35,4,220
2025,80.0,68.0,10,1,12
2015,80.0,84.0,10,1,124
2004,80.0,85.0,46,1,12
2009,80.0,70.0,22,3,109
2009,80.0,53.0,51,4,6
2021,80.0,78.0,48,3,151
2020,80.0,61.0,50,5,3850
2019,80.0,80.0,25,1,143
2006,80.0,80.0,35,3,61
2005,80.0,80.0,51,1,195
2022,80.0,74.0,36,2,44
2015,80.0,77.0,10,2,57
2025,80.0,74.0,10,1,13
2007,80.0,74.0,24,1,21
2015,80.0,62.0,53,3,108
2017,80.0,71.0,27,4,96
2003,80.0,78.0,22,1,29
2002,80.0,66.0,37,1,31
2001,80.0,77.0,10,1,21
2002,80.0,82.0,17,2,34
2018,80.0,0.0,9,2,3
2017,80.0,80.0,70,5,982
2001,80.0,85.0,11,1,8
2003,80.0,74.0,32,1,19
2012,80.0,76.0,80,1,993
2014,80.0,62.0,12,4,92
2025,80.0,55.0,29,3,44
2022,80.0,84.0,15,1,16
2018,80.0,81.0,32,1,151
2008,80.0,76.0,76,2,130
2022,80.0,70.0,33,1,121
2013,80.0,81.0,51,3,547
2011,80.0,79.0,63,4,247
2019,80.0,81.0,70,1,264
2020,80.0,79.0,7,1,14
2018,80.0,77.0,10,1,21
2023,80.0,67.0,9,4,18
2024,80.0,45.0,34,2,125
2023,80.0,74.0,14,2,9
2018,80.0,77.0,9,3,72
2017,80.0,78.0,11,3,171
2023,80.0,60.0,11,1,9
2024,80.0,80.0,11,1,20
2024,80.0,89.0,78,4,1071
2004,80.0,71.0,43,1,254
2025,80.0,60.0,15,1,5
2016,80.0,79.0,26,1,17
2022,80.0,79.0,17,2,33
2012,80.0,79.0,49,6,209
2015,80.0,81.0,8,1,39
2009,80.0,85.0,73,1,488
2013,80.0,82.0,41,1,105
2007,80.0,81.0,7,1,35
2020,80.0,83.0,29,3,100
2015,80.0,72.0,15,2,29
2013,80.0,82.0,59,3,2704
2011,80.0,77.0,76,3,99
2006,80.0,81.0,22,1,35
2016,80.0,76.0,49,5,482
2007,80.0,67.0,42,2,18
2013,80.0,72.0,22,2,676
2021,80.0,84.0,98,4,2492
2011,80.0,85.0,39,2,120
2012,80.0,67.0,25,3,84
2023,80.0,81.0,7,1,31
2008,80.0,81.0,19,3,92
2005,80.0,83.0,36,1,26
2011,80.0,72.0,11,1,18
2004,80.0,83.0,48,1,93
2025,80.0,65.0,41,3,31
2025,80.0,79.0,23,3,304
2022,80.0,81.0,19,3,196
2016,80.0,79.0,62,1,394
2015,80.0,79.0,20,1,52
2012,80.0,76.0,71,3,338
2009,80.0,78.0,8,1,74
2000,80.0,68.0,17,1,41
2000,80.0,81.0,17,1,25
2003,80.0,76.0,10,1,13
2004,80.0,77.0,55,1,102
2003,80.0,0.0,23,3,3
2002,80.0,80.0,16,1,101
1999,80.0,84.0,14,1,59
2019,80.0,37.0,86,1,399
2019,80.0,71.0,70,1,611
2025,80.0,84.0,23,4,139
2013,80.0,78.0,89,1,1727
2022,80.0,74.0,18,3,81
2023,80.0,67.0,74,3,620
2009,80.0,66.0,43,3,12
2019,80.0,73.0,32,2,43
2025,80.0,72.0,22,2,18
2014,80.0,69.0,54,3,1916
2019,80.0,38.0,78,3,10548
2018,80.0,84.0,41,1,525
2013,80.0,74.0,33,2,37
2018,80.0,77.0,12,1,133
2022,80.0,73.0,15,3,35
2016,80.0,71.0,33,3,102
2008,80.0,79.0,48,1,17
2006,80.0,58.0,44,7,8
2018,80.0,76.0,7,1,16
2013,80.0,80.0,34,2,255
2021,80.0,79.0,13,1,74
2024,80.0,75.0,14,3,34
2022,80.0,0.0,6,1,0
2015,80.0,72.0,53,3,125
2018,80.0,78.0,20,3,95
2022,80.0,78.0,38,1,110
2008,80.0,75.0,34,2,14
2006,80.0,87.0,19,1,69
2019,80.0,69.0,36,1,96
2004,80.0,81.0,46,1,73
2015,80.0,78.0,28,1,58
2024,80.0,78.0,8,1,19
2025,80.0,64.0,27,3,131
2015,80.0,64.0,14,1,61
2023,80.0,66.0,23,2,579
2019,80.0,47.0,89,1,3719
2004,80.0,86.0,47,1,36
2012,80.0,82.0,57,1,610
2000,80.0,74.0,17,2,16
2010,80.0,83.0,26,1,127
2025,80.0,74.0,8,3,18
2013,80.0,84.0,75,1,288
2006,80.0,80.0,54,7,201
2010,80.0,86.0,65,2,345
2015,80.0,83.0,19,2,49
2020,80.0,0.0,11,1,1
2000,80.0,77.0,8,1,7
2007,80.0,83.0,23,1,269
2025,80.0,68.0,80,2,2098
2005,80.0,78.0,57,7,128
2025,80.0,70.0,21,4,43
2025,80.0,66.0,13,2,8
2022,80.0,60.0,13,3,173
2023,80.0,79.0,26,1,83
2017,80.0,75.0,14,4,25
2023,80.0,80.0,17,3,42
2023,80.0,68.0,17,4,32
2021,80.0,64.0,14,1,8
2009,80.0,79.0,50,2,576
2006,80.0,76.0,35,1,88
2025,80.0,81.0,34,4,115
2017,80.0,81.0,34,1,44
2004,80.0,72.0,11,1,5
2015,80.0,78.0,32,2,488
2012,80.0,80.0,47,3,868
2003,80.0,76.0,15,1,7
2008,80.0,80.0,16,1,5
2023,80.0,71.0,68,3,609
2005,80.0,71.0,39,7,40
2018,80.0,84.0,52,1,218
2013,80.0,83.0,21,3,347
2019,80.0,75.0,39,4,100
